,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
1372,109.24925770027,13.82234669056,0.1694,0.1418,0.6726086582672518
1375,109.25332153396,13.8221576929,0.1396,0.1226,0.8096386011135265
1380,109.28648317618,13.82097393006,0.0499,0.0431,0.7878899702760784
1388,109.27842604113,13.8189100303,0.3654,0.3201,0.7042083867408254
1390,109.27683846974,13.81173812716,0.2498,0.2199,0.714344651204586
1396,109.2852704216,13.82797299408,0.2257,0.1841,0.678849942056954
1399,109.25413346896,13.82472892909,0.1048,0.0916,1.0
1401,109.25770415748,13.81899935562,0.6089,0.5111,0.9418937491988614
1405,109.22645014076,13.80575730349,0.2374,0.2108,0.8948661963833435
1406,109.22308911549,13.82487832476,0.3996,0.3286,1.0
1409,109.22847612447,13.80999330327,0.0943,0.0787,0.8379946561599433
1415,109.2210543337,13.80970200972,0.0998,0.091,0.8781686029804081
1417,109.22218338234,13.82963056507,0.1064,0.0926,1.0
1428,109.24934707105,13.84494102516,0.1082,0.0941,0.8592074568143818
1438,109.25497247714,13.84499262528,0.1577,0.1437,0.7429921128266048
1439,109.24332565628,13.84586823283,0.0418,0.0353,0.947944385237264
1452,109.30201630214,13.83702091811,0.0962,0.0878,0.9632206589472379
1456,109.29218151512,13.82881026185,0.5112,0.4377,0.7244904300244744
1458,109.30853461724,13.84383731052,0.0748,0.0614,1.0
1471,109.30988238827,13.87203132281,0.0797,0.0694,0.6348224897900082
1473,109.33271122685,13.85944235682,0.2977,0.2598,0.9907162300032669
1475,109.29495694598,13.86021992602,0.0929,0.0844,0.718252624713516
1480,109.31178683409,13.85266129621,0.2055,0.1716,0.7398773628438978
1489,109.25536542111,13.85986122117,0.2932,0.2621,1.0
1493,109.28119568542,13.86315709581,0.0413,0.0373,0.930983103221387
1494,109.26505969921,13.85231530909,0.1301,0.1153,0.8461829098187481
1496,109.26191297867,13.86269515284,0.0755,0.0652,0.6654397924858286
1497,109.25729069002,13.85753371085,0.1889,0.1704,0.7665147602883701
1501,109.28235528233,13.86683796291,0.0415,0.0352,0.9962478546249393
1504,109.28578345256,13.87824066477,0.0286,0.024,0.9315633959235498
1506,109.27879773396,13.88393301458,0.1538,0.137,0.7390616275403731
1511,109.30801101811,13.8840014457,0.1664,0.1429,0.8933390865757961
1513,109.28055497984,13.88877848752,0.0455,0.0387,0.8565262062491573
1516,109.29711153302,13.8841204818,0.0805,0.07,0.94118521804116
1522,109.20705147067,13.83476840075,0.1124,0.0945,0.6296829030947948
1525,109.21332432805,13.84605417022,0.4489,0.3753,0.8190759718845395
1535,109.22948717369,13.86956508158,0.0423,0.0358,1.0
1539,109.22765631032,13.87644832284,0.0783,0.0667,0.9982062401382898
1540,109.2191441091,13.86417372722,0.5145,0.4375,0.7268527628584847
1542,109.21807967254,13.85644068889,0.093,0.0753,1.0
1543,109.22389548668,13.86293695186,0.232,0.2024,0.9132186066926654
1566,109.20397459089,13.86469140736,0.4003,0.3368,0.6494085714272904
1579,109.25255172427,13.87670778444,0.1226,0.1062,0.7527877060279833
1580,109.24967494547,13.86755225853,0.1673,0.1518,0.7898033479835098
